algorithm,params,n_clusters,labels_noise,external_f1_macro,silhouette,calinski_harabasz,davies_bouldin
Spectral,"{'n_clusters': 4, 'assign_labels': 'kmeans', 'random_state': 42}",3,0,0.01110061478632744,-0.07387062547887055,1.536052076691041,1.878226170001902
Spectral,"{'n_clusters': 5, 'assign_labels': 'kmeans', 'random_state': 42}",5,0,0.0111641587295767,-0.08982999269276826,1.1431357204308221,1.4401442397088182
Spectral,"{'n_clusters': 6, 'assign_labels': 'kmeans', 'random_state': 42}",6,0,0.02148934364203451,-0.14285498971489793,1.0029426944515378,2.0179538961921097
Spectral,"{'n_clusters': 7, 'assign_labels': 'kmeans', 'random_state': 42}",5,0,0.014249245960526851,-0.08753993077404038,1.1638030742663439,2.344175362317993
Spectral,"{'n_clusters': 8, 'assign_labels': 'kmeans', 'random_state': 42}",4,0,0.019640351970285925,-0.11769674071769991,1.243669649363645,2.2239343764833395
Spectral,"{'n_clusters': 9, 'assign_labels': 'kmeans', 'random_state': 42}",5,0,0.021137562984895844,-0.13862357142265352,1.0013759671358629,1.5490347312947759
Spectral,"{'n_clusters': 9, 'assign_labels': 'discretize', 'random_state': 42}",9,0,0.03829240267296256,-0.03742229658042494,1.9016645709857267,8.06356910964616
Spectral,"{'n_clusters': 10, 'assign_labels': 'kmeans', 'random_state': 42}",6,0,0.009797214314709526,-0.11539236959258836,0.990579968580509,1.256169161872446
MeanShift,{'bandwidth': None},4,0,0.04617957982068781,0.1712161420693334,2.100878189393798,0.6935242855007723
AffinityPropagation,{'damping': 0.5},79,0,,0.16986387559883015,5.6759407077562445,1.7331722635691484
AffinityPropagation,{'damping': 0.7},79,0,,0.17505088651086287,5.707451509902627,1.7328342470684426
AffinityPropagation,{'damping': 0.9},80,0,,0.17445446033266857,5.661206770096135,1.7112670635158935
